urls,precio,calle,altura,metros_totales,metros_cubiertos,ambientes,banios,dormitorios,cocheras
/propiedades/clasificado/veclapin-departamento-en-cordoba-778-52737909.html,60000,Cordoba,778.0,0.0,0.0,0.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-garcia-merou-230-p.-1-dpto.-d-52329847.html,90000,Garcia-Merou,230.0,71.0,65.0,0.0,0.0,2.0,0.0
/propiedades/clasificado/veclapin-departamento-6-ambientes-mendoza-435-macrocentro-53109837.html,130000,Mendoza-435-,0.0,140.0,140.0,6.0,3.0,3.0,1.0
/propiedades/clasificado/veclapin-venta-departamento-2-dorm.-zona-unne-54651156.html,53000,Ameghino,800.0,51.0,43.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-departamento-dos-dorm.-con-cochera-54188035.html,85000,Calle-Obligado,841.0,82.0,82.0,0.0,1.0,2.0,1.0
/propiedades/clasificado/veclapin-av-paraguay-240-microcentro-53439105.html,78000,Avenida-Paraguay,240.0,120.0,100.0,0.0,2.0,3.0,0.0
/propiedades/clasificado/veclapin-pueyrredon-240-micro-centro-53765043.html,65000,Pueyrredon,240.0,55.0,42.0,0.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-venta-de-departamento-ideal-inversion-54112192.html,1000,Departamento-En-Venta--Ideinversion--Zona-Club-Regatas,0.0,44.0,0.0,2.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-monoambiente-impecable-en-pleno-centro!-54515770.html,45000,Arbo-Y-Blanco,315.0,33.0,0.0,0.0,1.0,0.0,0.0
/propiedades/clasificado/veclapin-santa-ines-128-p.-1-52329040.html,20000,Santa-Ines,128.0,50.0,50.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-donovan-789-centro-50870552.html,63000,Donovan,789.0,95.0,80.0,4.0,1.0,3.0,0.0
/propiedades/clasificado/veclapin-lindo-dpto.-de-2-dorm.-a-estrenar!-49378896.html,125000,Ameghino,900.0,85.0,85.0,3.0,1.0,2.0,1.0
/propiedades/clasificado/veclapin-se-vende:-colon-638-monoambiente-amplio-edificio-51493085.html,65000,Colon,600.0,45.0,0.0,0.0,0.0,0.0,0.0
/propiedades/clasificado/veclapin-av-9-de-julio-1046-hospital-49349399.html,60000,Av-9-De-Julio,1046.0,75.0,60.0,2.0,1.0,1.0,1.0
/propiedades/clasificado/veclapin-departamento-de-3-dorm.-planta-baja-b-espana-54159969.html,35000,Puerto-De-Palos,900.0,50.0,0.0,4.0,1.0,3.0,0.0
/propiedades/clasificado/veclapin-semipiso-centrico-52099307.html,170000,Av-Alberdi,200.0,141.0,128.0,5.0,2.0,3.0,1.0
/propiedades/clasificado/veclapin-departamento-en-resistencia-54696421.html,1000,Av-Departamento-En-Venta-De-1-Dormitorio--Sobre-Av--Alberdi,1400.0,44.0,38.0,2.0,1.0,1.0,1.0
/propiedades/clasificado/veclapin-vedia-650-p.-2-dpto.-16-52329967.html,85000,Vedia,650.0,72.0,72.0,0.0,0.0,3.0,0.0
/propiedades/clasificado/veclapin-se-vende-en-barrio-guiraldes-dto-de-3-dorm.-salon-52050328.html,22000,Don-Segundo-Sombras,0.0,100.0,0.0,4.0,2.0,3.0,1.0
/propiedades/clasificado/veclapin-oportunidad-departamentos-contiguos-1-y-2-dorm.-av-52654381.html,1000,Avenida-Marconi-Nº,142.0,88.0,88.0,5.0,2.0,3.0,1.0
/propiedades/clasificado/veclapin-departamento-2-dorm.-en-venta!-53637943.html,40000,Juan-D-Perón,1600.0,46.0,46.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-roque-saenz-pena-1236-p.-2-dpto.-4-52322160.html,37000,Roque-Saenz-Peña,1236.0,31.0,31.0,0.0,1.0,0.0,1.0
/propiedades/clasificado/veclapin-lindo-departamento-a-excelente-precio!-en-b-malvinas-54521289.html,28000,Necochea,2350.0,65.0,65.0,5.0,1.0,3.0,0.0
/propiedades/clasificado/veclapin-oficina-o-monoambiente-en-microcentro!-51081940.html,26000,Pellegrini,298.0,23.0,23.0,0.0,1.0,0.0,0.0
/propiedades/clasificado/veclapin-departamento-2-ambientes-villa-centenario-51937665.html,50000,San-Lorenzo,1100.0,33.0,33.0,2.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-departamento-3-dorm.-macrocentro-resistencia-46904985.html,65000,Padre-Cerqueira,100.0,75.0,75.0,4.0,0.0,3.0,0.0
/propiedades/clasificado/veclapin-impecable-departamento-reformado-2-dorm.-edificio-50655156.html,68000,Echeverria,360.0,64.0,60.0,0.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-toledo-646-p.-3-dpto.-i-52322569.html,32000,Toledo,646.0,33.0,33.0,2.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-mitre-751-p.-1-dpto.-c-52323445.html,95000,Mirtre,751.0,62.0,62.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-venta-de-departamento-en-barrio-upcp-sobre-av-51791652.html,30000,Av-Saberania-Nacional,2101.0,200.0,180.0,7.0,1.0,4.0,1.0
/propiedades/clasificado/veclapin-venta-duplex-av-sarmiento-575-resistencia-54769964.html,350000,Avenida-Sarmiento,500.0,196.0,186.0,6.0,3.0,3.0,0.0
/propiedades/clasificado/veclapin-departamento-3-dorm.-remodelado-y-amueblado-en-venta-53924918.html,75000,Avenida-Alvear,265.0,93.0,0.0,4.0,2.0,3.0,1.0
/propiedades/clasificado/veclapin-gran-departamento-1-dormitorio-en-microcentro-50655085.html,45000,Mitre,545.0,50.0,50.0,0.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-departamento-en-venta-54427353.html,125000,Avenida-Rivadavia,700.0,60.0,46.0,2.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-inversores!-4-dptos-en-bloque-sobre-10x30-sobre-av!-53683879.html,150000,Av-9-De-Julio,3255.0,316.0,245.0,0.0,4.0,6.0,0.0
/propiedades/clasificado/veclapin-local-comercial-y-dos-departamentos-para-invertir!-51408243.html,64000,Fray-Luis-Beltran,33.0,176.0,160.0,0.0,3.0,3.0,0.0
/propiedades/clasificado/veclapin-atencion-inversores-2-departamentos-de-2-dorm.-en-51888428.html,110000,Santa-María-De-Oro,448.0,170.0,170.0,0.0,2.0,5.0,0.0
/propiedades/clasificado/veclapin-departamento-3-ambientes-villa-centenario-51940496.html,35000,Arbo-Y-Blanco,1000.0,65.0,50.0,3.0,0.0,2.0,0.0
/propiedades/clasificado/veclapin-san-lorenzo-esquina-seitor-u.-n.-n.-e.-50399828.html,58000,Seitor,700.0,80.0,76.0,3.0,1.0,2.0,1.0
/propiedades/clasificado/veclapin-departamento-2-ambientes-villa-del-parque-51789504.html,17000,1-De-Mayo,100.0,55.0,40.0,2.0,0.0,1.0,0.0
/propiedades/clasificado/veclapin-dpto.-monoambiente-a-la-venta-en-el-centro-de-rcia-54558782.html,42000,Arbo-Y-Blanco,300.0,33.0,31.0,1.0,1.0,0.0,0.0
/propiedades/clasificado/veclapin-frondizi-986-p.-1-dpto.-a-52329108.html,150000,Frondizi,986.0,70.0,70.0,3.0,1.0,2.0,1.0
/propiedades/clasificado/veclapin-rentabiliza-tu-inversion-venta-6-dptos-3-cocheras-52132157.html,1000,Juan-D-Peron,1600.0,450.0,450.0,0.0,0.0,0.0,0.0
/propiedades/clasificado/veclapin-departamento-3-ambientes-macrocentro-resistencia-47374508.html,70000,San-Lorenzo,700.0,67.0,58.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-av-wilde-433-centro-53443483.html,68000,Avenida-Wilde,433.0,65.0,48.0,0.0,1.0,1.0,0.0
